Perfume Name,Hotness Score,Number of Categories,Img Url
Club de Nuit Intense Man Parfum Armaf (male) ~ 2022,0.8859463317256294,2,https://fimgs.net/mdimg/perfume/270x270.72842.jpg
Terre d'Hermes Flacon H 2021 Parfum Hermès (male) ~ 2021,0.8848976664802715,2,https://fimgs.net/mdimg/perfume/270x270.65397.jpg
Y Eau de Parfum Yves Saint Laurent (male) ~ 2018,0.8791712056006337,3,https://fimgs.net/mdimg/perfume/270x270.50757.jpg
Explorer Montblanc (male) ~ 2019,0.8785386034687981,4,https://fimgs.net/mdimg/perfume/270x270.52002.jpg
Herod Parfums de Marly (male) ~ 2012,0.8785347967460158,3,https://fimgs.net/mdimg/perfume/270x270.16939.jpg
Le Lion Eau de Parfum Chanel (unisex) ~ 2020,0.8775203083551576,7,https://fimgs.net/mdimg/perfume/270x270.61036.jpg
Reflection 45 Man Amouage (male) ~ 2021,0.8759408954285965,5,https://fimgs.net/mdimg/perfume/270x270.69488.jpg
Acqua di Gio Giorgio Armani (male) ~ 1996,0.8745975954514472,3,https://fimgs.net/mdimg/perfume/270x270.410.jpg
Terre d'Hermes Parfum Hermès (male) ~ 2009,0.8733746242169467,3,https://fimgs.net/mdimg/perfume/270x270.8282.jpg
Vanilla Diorama Dior (unisex) ~ 2021,0.8708666651115019,3,https://fimgs.net/mdimg/perfume/270x270.68198.jpg
Ani Nishane (unisex) ~ 2019,0.870732437253028,5,https://fimgs.net/mdimg/perfume/270x270.54785.jpg
Le Beau Le Parfum Jean Paul Gaultier (male) ~ 2022,0.8694321269593432,2,https://fimgs.net/mdimg/perfume/270x270.72158.jpg
L'Eau d'Issey Pour Homme Issey Miyake (male) ~ 1994,0.8692913354997102,3,https://fimgs.net/mdimg/perfume/270x270.721.jpg
Gentleman Eau de Parfum Boisée Givenchy (male) ~ 2020,0.8688596537120566,4,https://fimgs.net/mdimg/perfume/270x270.59009.jpg
Bvlgari Man In Black Bvlgari (male) ~ 2014,0.864817297712841,3,https://fimgs.net/mdimg/perfume/270x270.26358.jpg
Egoiste Platinum Chanel (male) ~ 1993,0.864663428492671,3,https://fimgs.net/mdimg/perfume/270x270.614.jpg
02 L'Air du Desert Marocain Tauer Perfumes (unisex) ~ 2005,0.8643547320272195,3,https://fimgs.net/mdimg/perfume/270x270.4573.jpg
Armani Code Eau de Parfum Giorgio Armani (male) ~ 2021,0.8638930789953869,4,https://fimgs.net/mdimg/perfume/270x270.65581.jpg
A*Men Pure Havane Mugler (male) ~ 2011,0.862475160694347,3,https://fimgs.net/mdimg/perfume/270x270.11444.jpg
Ébène Fumé Tom Ford (unisex) ~ 2021,0.8621686498598921,6,https://fimgs.net/mdimg/perfume/270x270.69008.jpg
