Perfume Name;Combined Score
M7 Yves Saint Laurent (male) ~ 2002;0.7781465168768911
Gentleman Eau de Toilette Intense Givenchy (male) ~ 2021;0.7764821684309873
Armani Code Eau de Parfum Giorgio Armani (male) ~ 2021;0.7756764695725628
Grand Soir Maison Francis Kurkdjian (unisex) ~ 2016;0.774607974864179
Reflection 45 Man Amouage (male) ~ 2021;0.7728684132386687
Light Blue Forever pour Homme Dolce&Gabbana (male) ~ 2021;0.7724470308176465
Eau Sauvage Parfum 2017 Dior (male) ~ 2017;0.7717649098178799
Dior Homme Cologne 2022 Dior (unisex) ~ 2022;0.770111637579843
Bleu de Chanel Chanel (male) ~ 2010;0.7697944917585348
Baccarat Rouge 540 Extrait Limited Edition 2021 Maison Francis Kurkdjian (unisex) ~ 2021;0.7696959162797921
Antaeus Chanel (male) ~ 1981;0.7693403497025266
Coromandel Parfum Chanel (unisex) ~ 2019;0.7662745175370804
L'Ombre Des Merveilles Hermès (unisex) ~ 2020;0.7662012264555366
Envy for Men Gucci (male) ~ 1998;0.7660848809064058
Eau Sauvage Parfum Dior (male) ~ 2012;0.7646235029037748
Pi Givenchy (male) ~ 1998;0.764527030356243
Luna Rossa Black Prada (male) ~ 2018;0.7638614784789315
Terre d'Hermes Flacon H 2019 Eau de Toilette Hermès (male) ~ 2019;0.7637834809534425
L'Instant de Guerlain pour Homme EDP Guerlain (male) ~ 2015;0.7629166865353553
Spicebomb Viktor&Rolf (male) ~ 2012;0.7622916007808284
Dior Homme Cologne 2013 Dior (male) ~ 2013;0.76220866474225
Ambre Nuit New Look Limited Edition Dior (unisex) ~ 2022;0.7616813595522561
Encre Noire A L'Extreme Lalique (male) ~ 2015;0.7612727710564046
Bentley for Men Intense Bentley (male) ~ 2013;0.7602071428012207
Orphéon Eau de Parfum Diptyque (unisex) ~ 2021;0.7597714931201953
The One for Men Dolce&Gabbana (male) ~ 2008;0.7587262887351958
Le Male Jean Paul Gaultier (male) ~ 1995;0.7576370903341869
Interlude Man Amouage (male) ~ 2012;0.7574875649633018
Armani Code Parfum Giorgio Armani (male) ~ 2022;0.7574105844863404
Moustache Eau de Parfum Rochas (male) ~ 2018;0.7558688086136136
Dior Homme Sport 2021 Dior (male) ~ 2022;0.7558498704576104
Luna Rossa Carbon Prada (male) ~ 2017;0.755765494070973
Acqua di Giò Eau de Parfum Giorgio Armani (male) ~ 2022;0.7545348015154757
Habit Rouge Eau de Toilette Guerlain (male) ~ 1965;0.7528293444970483
Elysium Pour Homme Parfum Cologne Roja Dove (male) ~ 2017;0.7518717893434883
Pour Monsieur Chanel (male) ~ 1955;0.7517843034175906
L’Homme Ideal Guerlain (male) ~ 2014;0.7512405329453266
Ultra Male Jean Paul Gaultier (male) ~ 2015;0.7493594422916676
Gentleman Eau de Parfum Givenchy (male) ~ 2018;0.7473314049125697
Shalimar Millésime Tonka Guerlain (female) ~ 2022;0.7472766323849962
Ébène Fumé Tom Ford (unisex) ~ 2021;0.7465249038285543
Allure Homme Chanel (male) ~ 1999;0.7435029610231529
Heritage Eau de Toilette Guerlain (male) ~ 1992;0.7429702574409517
Khamrah Lattafa Perfumes (unisex) ~ 2022;0.7424632274383529
Cedrat Boise Mancera (unisex) ~ 2011;0.739001114527328
Terre d'Hermes Flacon H 2021 Eau de Toilette Hermès (male) ~ 2021;0.7389832614357466
Luna Rossa Ocean Prada (male) ~ 2021;0.738052851168977
Club de Nuit Intense Man Limited Edition Parfum Armaf (male) ~ 2021;0.7358713108879327
Drakkar Noir Guy Laroche (male) ~ 1982;0.7357106171176608
Royal Oud Creed (unisex) ~ 2011;0.734270237796614
Détour Noir Al Haramain Perfumes (unisex) ~ 2021;0.733939287595123
By the Fireplace Maison Martin Margiela (unisex) ~ 2015;0.733399291434153
Armani Code Giorgio Armani (male) ~ 2004;0.732890612749729
Red Tobacco Mancera (unisex) ~ 2017;0.7328439113195324
Gucci pour Homme (2003) Gucci (male) ~ 2003;0.7326056109341552
Ristretto Intense Café Montale (unisex) ~ 2019;0.7321965698201313
Prada Amber Pour Homme (Prada Man) Prada (male) ~ 2006;0.7317245534316581
Spicebomb Infrared Viktor&Rolf (male) ~ 2021;0.7275095439494494
Cool Water Davidoff (male) ~ 1988;0.727285667267212
Declaration Cartier (male) ~ 1998;0.7254334546695576
Whispers in the Library Maison Martin Margiela (unisex) ~ 2019;0.7252637244193004
Azzaro pour Homme Azzaro (male) ~ 1978;0.7248628001613193
L'Homme Yves Saint Laurent (male) ~ 2006;0.723180668158611
London for Men Burberry (male) ~ 2006;0.7229814780221722
Bois Mystérieux Guerlain (unisex) ~ 2019;0.7223396595656529
Versace Man Eau Fraiche Versace (male) ~ 2006;0.7200355317683284
Sauvage Dior (male) ~ 2015;0.7180057981255148
Wanted by Night Azzaro (male) ~ 2018;0.7170745212141105
Mugler Cologne Mugler (unisex) ~ 2001;0.7169726048095215
Rive Gauche pour Homme Yves Saint Laurent (male) ~ 2003;0.7155057244947668
Jazz Club Maison Martin Margiela (male) ~ 2013;0.714906129985485
Babycat Yves Saint Laurent (unisex) ~ 2022;0.7139512148034659
Gucci Guilty Absolute Gucci (male) ~ 2017;0.7136840937890214
Dior Homme 2020 Dior (male) ~ 2020;0.712473719887403
Sticky Fingers Francesca Bianchi (unisex) ~ 2020;0.7116245463720356
Musc Ravageur Frederic Malle (unisex) ~ 2000;0.7111285252507766
Eros Eau de Parfum Versace (male) ~ 2020;0.7097946437157137
Light Blue Eau Intense Pour Homme Dolce&Gabbana (male) ~ 2017;0.709620698962519
Hacivat Nishane (unisex) ~ 2017;0.7095714552935739
Narciso Rodriguez For Him Bleu Noir Eau De Toilette Extreme Narciso Rodriguez (male) ~ 2020;0.7090150913830857
Chergui Serge Lutens (unisex) ~ 2001;0.7089331365393428
Valentino Uomo Valentino (male) ~ 2014;0.708857075322499
Versace Pour Homme Dylan Blue Versace (male) ~ 2016;0.7081938326550752
Rose & Cuir Frederic Malle (unisex) ~ 2019;0.7079789155750063
Au Coeur du Désert Tauer Perfumes (unisex) ~ 2016;0.7069346217169874
Emporio Armani Stronger With You Intensely Giorgio Armani (male) ~ 2019;0.7068905579220335
Eros Versace (male) ~ 2012;0.7043653552736947
Gentleman (1974) Givenchy (male) ~ 1974;0.7042611990444919
Carlisle Parfums de Marly (unisex) ~ 2015;0.702993280415126
Polo Ralph Lauren (male) ~ 1978;0.7017766793263964
Allure Homme Edition Blanche Chanel (male) ~ 2008;0.7017052470262835
Instant Crush Mancera (unisex) ~ 2019;0.7010390964187038
Lalique White in Black Lalique (male) ~ 2021;0.7005670474956083
Toy Boy Moschino (male) ~ 2019;0.7005503015015269
Pegasus Exclusif Parfums de Marly (male) ~ 2020;0.6988116274701861
Enigma Pour Homme Parfum Cologne Roja Dove (male) ~ 2019;0.6965401738143123
L’Homme Ideal Cologne Guerlain (male) ~ 2015;0.6958285224834907
The Dreamer Versace (male) ~ 2010;0.6953380683617214
CH Men Prive Carolina Herrera (male) ~ 2015;0.6945013839814465
The One Luminous Night Dolce&Gabbana (male) ~ 2021;0.694110892604731
Italica (2021) Xerjoff (unisex) ~ 2021;0.693286316314641
Encre Noire Sport Lalique (male) ~ 2013;0.6927827823684214
The One For Men Eau de Parfum Intense Dolce&Gabbana (male) ~ 2020;0.692544110375099
Enclave Amouage (unisex) ~ 2020;0.6917879789686587
Emporio Armani Stronger With You Oud Giorgio Armani (male) ~ 2022;0.6909721274599863
Club de Nuit Intense Man Armaf (male) ~ 2015;0.6902737069312517
Wood Sage & Sea Salt Cologne Jo Malone London (unisex) ~ 2022;0.6902645573533193
Jaipur Homme Eau de Parfum Boucheron (male) ~ 1997;0.6901217098664731
Oud for Greatness Initio Parfums Prives (unisex) ~ 2018;0.6896707461353877
Habit Rouge Eau de Parfum Guerlain (male) ~ 1965;0.6891644802876868
Ganymede Marc-Antoine Barrois (unisex) ~ 2019;0.6890258240668126
Baccarat Rouge 540 Extrait Limited Edition Maison Francis Kurkdjian (unisex) ~ 2020;0.6868608527756577
Tony Iommi Monkey Special Xerjoff (unisex) ~ 2021;0.6862324257900667
Paco Rabanne Pour Homme Paco Rabanne (male) ~ 1973;0.6861749437600536
Heritage Eau de Parfum Guerlain (male) ~ 1992;0.6855231263483066
Narciso Rodriguez for Him Narciso Rodriguez (male) ~ 2007;0.6850314811001642
Sundowner Tauer Perfumes (unisex) ~ 2021;0.6834794516907071
Club de Nuit Sillage Armaf (unisex) ~ 2020;0.6824826322621278
Dior Homme Intense 2007 Dior (male) ~ 2007;0.6815390463053619
Bergamotto di Calabria La Spugnatura Acqua di Parma (unisex) ~ 2021;0.6814633775930435
Dior Homme 2005 Dior (male) ~ 2005;0.6812274435492035
Artisan Pure John Varvatos (male) ~ 2017;0.6808928051809887
Tuscan Leather Intense Tom Ford (unisex) ~ 2019;0.6808300091559578
Tuxedo Yves Saint Laurent (unisex) ~ 2015;0.6798775801456505
A*Men Mugler (male) ~ 1996;0.6797932881048845
Tobacco Oud Tom Ford (unisex) ~ 2013;0.6793724333900091
Patchouli Ardent Guerlain (unisex) ~ 2020;0.679305571488163
L'Instant de Guerlain pour Homme EDT Guerlain (male) ~ 2016;0.6788331125607826
Layton Exclusif Parfums de Marly (unisex) ~ 2017;0.6776709419799294
Vanille Havane Les Indemodables (unisex) ~ 2020;0.6776457825887097
Armani Eau Pour Homme Giorgio Armani (male) ~ 1984;0.6757539174661338
Declaration d'Un Soir Cartier (male) ~ 2012;0.6756580588448412
Shalimar Millésime Vanilla Planifolia Guerlain (female) ~ 2021;0.6746955557000931
Grey Vetiver Eau de Toilette Tom Ford (male) ~ 2014;0.6746941455072064
Opium Pour Homme Eau de Parfum Yves Saint Laurent (male) ~ 1995;0.6720644217621581
Autumn Vibes Maison Martin Margiela (unisex) ~ 2021;0.671081666184481
Aqva Pour Homme Bvlgari (male) ~ 2005;0.6707779030062755
Bee Zoologist Perfumes (unisex) ~ 2019;0.6701336183580818
Zino Davidoff Davidoff (male) ~ 1986;0.6698264640391562
Paris – Édimbourg Chanel (unisex) ~ 2021;0.6689083926028487
Kouros Yves Saint Laurent (male) ~ 1981;0.6664488237364129
Boundless Amouage (unisex) ~ 2021;0.6651502352123533
Haltane Parfums de Marly (male) ~ 2021;0.6644273914283301
Asad Lattafa Perfumes (male) ~ 2021;0.6635908354980129
Boss Bottled Hugo Boss (male) ~ 1998;0.6615666350469238
Interlude 53 Man Amouage (male) ~ 2020;0.6613079161496919
Terre d'Hermes Flacon H 2019 Parfum Hermès (male) ~ 2019;0.6594965888569537
Cuir Intense Guerlain (unisex) ~ 2019;0.6590379318986042
Soleil Neige Tom Ford (unisex) ~ 2019;0.6587224783851098
Eros Parfum Versace (male) ~ 2021;0.6577636460532514
Cool Water Parfum Davidoff (male) ~ 2021;0.6574510798881581
Y Eau de Toilette Yves Saint Laurent (male) ~ 2022;0.6566411743630444
Costa Azzurra Parfum Tom Ford (unisex) ~ 2022;0.6556818386821265
Black Bvlgari (unisex) ~ 1998;0.6534158460042359
Armani Code Absolu Gold Giorgio Armani (male) ~ 2020;0.653378264225671
Oud Eau de Parfum Acqua di Parma (unisex) ~ 2019;0.6532922372562406
Prada L'Homme L'Eau Prada (male) ~ 2017;0.653014827791331
Gentleman Cologne Givenchy (male) ~ 2019;0.6524455673557176
Boss Bottled Intense Eau de Parfum Hugo Boss (male) ~ 2016;0.6514260456168544
Aramis Aramis (male) ~ 1966;0.6511578391819128
Opus XIV – Royal Tobacco Amouage (unisex) ~ 2022;0.6510722831084221
Tam Dao Limited Edition Diptyque (unisex) ~ 2019;0.6490579501425036
H24 Eau de Parfum Hermès (male) ~ 2022;0.6485511861307554
Oud for Happiness Initio Parfums Prives (unisex) ~ 2021;0.644869183099538
Black Afgano Nasomatto (unisex);0.644437906360922
Costa Azzurra Tom Ford (unisex) ~ 2021;0.6429232091588029
Acqua di Parma Blu Mediterraneo - Fico di Amalfi Acqua di Parma (unisex) ~ 2006;0.6420993356004551
L'Homme Eau de Parfum Yves Saint Laurent (male) ~ 2022;0.6417742840199001
Aqva Amara Bvlgari (male) ~ 2014;0.6416871021217974
Vetiver & Golden Vanilla Jo Malone London (unisex) ~ 2020;0.6410375372886628
Pour Monsieur Eau de Parfum Chanel (male) ~ 2016;0.6395349167224235
Jaipur Homme Boucheron (male) ~ 1998;0.6386980296298462
Aqua Allegoria Coconut Fizz Guerlain (unisex) ~ 2019;0.6386047379755304
Apple Brandy on the Rocks By Kilian (unisex) ~ 2021;0.6385007183412947
Sintra Memo Paris (unisex) ~ 2020;0.6384255397514379
Oajan Parfums de Marly (unisex) ~ 2013;0.6377694102438812
Tobacco Mandarin Byredo (unisex) ~ 2020;0.6373094106781496
Pour Un Homme de Caron Caron (male) ~ 1934;0.6367598126983736
Light Blue pour Homme Italian Love Dolce&Gabbana (male) ~ 2022;0.6366559776324366
Silky Woods Goldfield & Banks Australia (unisex) ~ 2021;0.6364031245385484
Valentino Uomo Born In Roma Coral Fantasy Valentino (male) ~ 2022;0.6363185814711316
Dune Pour Homme Dior (male) ~ 1997;0.6350640417555365
Old Spice Original Shulton Company (male) ~ 1938;0.6346880175814957
Pardon Nasomatto (male) ~ 2011;0.634652115289219
Costume National Homme Parfum CoSTUME NATIONAL (male) ~ 2020;0.6344327785954005
Legend Eau de Parfum Montblanc (male) ~ 2020;0.6341544189407193
Gucci Pour Homme II Gucci (male) ~ 2007;0.6330429861222996
Sycomore Parfum Chanel (unisex) ~ 2022;0.6329324036490864
Silver Mountain Water Creed (unisex) ~ 1995;0.6323921252018916
Acqua di Giò Profondo Lights Giorgio Armani (male) ~ 2021;0.6317837026165929
Icon Alfred Dunhill (male) ~ 2015;0.6315927038787732
Winter Palace Memo Paris (unisex) ~ 2019;0.6309158716840305
Jazz Yves Saint Laurent (male) ~ 1988;0.630194327681793
La Nuit de L'Homme Eau de Parfum Yves Saint Laurent (male) ~ 2019;0.6285447644607117
Dior Homme Eau for Men Dior (male) ~ 2014;0.6284994638550944
H24 Hermès (male) ~ 2021;0.6260625330607043
Neroli Portofino Tom Ford (unisex) ~ 2011;0.6250746655530819
Symphonium Xerjoff (unisex) ~ 2020;0.6249655420983897
Oud & Spice Acqua di Parma (male) ~ 2021;0.6248444985164779
Baccarat Rouge 540 Maison Francis Kurkdjian (unisex) ~ 2015;0.6242023919179658
Noir de Noir Tom Ford (unisex) ~ 2007;0.6241809356684372
Armani Code Profumo Giorgio Armani (male) ~ 2016;0.6234764546994134
Colonia Intensa Acqua di Parma (male) ~ 2007;0.6231752484655388
Bois du Portugal Creed (male) ~ 1987;0.6229704805554178
Oud Rosewood Dior (unisex) ~ 2020;0.6228538764969946
Invictus Victory Paco Rabanne (male) ~ 2021;0.6222031927799823
Eau des Baux L'Occitane en Provence (male) ~ 2006;0.6221707382140206
L'Homme Idéal L'Intense Guerlain (male) ~ 2018;0.6208840121718067
Bohemian Lime Goldfield & Banks Australia (unisex) ~ 2020;0.6198585523668503
Kenzo Homme Eau de Toilette Intense Kenzo (male) ~ 2021;0.6179986792920666
Tobacco Collection Rich Warm Addictive 2021 Zara (male) ~ 2021;0.6173602226150225
Bvlgari Man Wood Neroli Bvlgari (male) ~ 2019;0.617184197519738
Coffee Break Maison Martin Margiela (unisex) ~ 2019;0.6169202981505101
Colonia Futura Acqua di Parma (unisex) ~ 2020;0.6162591964015298
Terre d'Hermes Eau Tres Fraiche Hermès (male) ~ 2014;0.6156337277896287
Musk Deer Zoologist Perfumes (unisex) ~ 2020;0.6152054954768045
Habit Rouge L'Instinct Guerlain (male) ~ 2022;0.6138850188636495
Ambre Sultan Serge Lutens (unisex) ~ 1993;0.6138701079713926
Nerolia Vetiver Guerlain (unisex) ~ 2022;0.6138482078329641
Individuel Montblanc (male) ~ 2003;0.6130248359321883
Tsar Van Cleef & Arpels (male) ~ 1989;0.6129095180076451
Guerlain Homme Guerlain (male) ~ 2008;0.6126968092541711
Nuit d'Issey Polaris Issey Miyake (male) ~ 2020;0.6118107768633368
CK One Calvin Klein (unisex) ~ 1994;0.6106267421327123
Bade'e Al Oud Oud for Glory Lattafa Perfumes (unisex) ~ 2020;0.6101123708927596
