Perfume Name,Wilson Score,Thumbs Up,Thumbs Down,Img Url
Scandal Pour Homme Jean Paul Gaultier (male) ~ 2021,0.4195,289,342,https://fimgs.net/mdimg/perfume/270x270.68074.jpg
Cool Water Parfum Davidoff (male) ~ 2021,0.54321,165,109,https://fimgs.net/mdimg/perfume/270x270.66525.jpg
Kenzo Homme Eau de Toilette Intense Kenzo (male) ~ 2021,0.48965,183,154,https://fimgs.net/mdimg/perfume/270x270.67899.jpg
EGE / ΑΙΓΑΙΟ Nishane (unisex) ~ 2020,0.51647,167,124,https://fimgs.net/mdimg/perfume/270x270.64092.jpg
Bvlgari Man Terrae Essence Bvlgari (male) ~ 2021,0.48198,186,162,https://fimgs.net/mdimg/perfume/270x270.68293.jpg
Spicebomb Night Vision Eau de Parfum Viktor&Rolf (male) ~ 2020,0.43377,219,238,https://fimgs.net/mdimg/perfume/270x270.62253.jpg
Paris – Édimbourg Chanel (unisex) ~ 2021,0.47644,174,154,https://fimgs.net/mdimg/perfume/270x270.67269.jpg
Enclave Amouage (unisex) ~ 2020,0.57819,133,73,https://fimgs.net/mdimg/perfume/270x270.62856.jpg
Polo Deep Blue Parfum Ralph Lauren (male) ~ 2020,0.54181,140,91,https://fimgs.net/mdimg/perfume/270x270.59650.jpg
Nuit d'Issey Polaris Issey Miyake (male) ~ 2020,0.52522,144,101,https://fimgs.net/mdimg/perfume/270x270.61305.jpg
Acqua di Giò Profondo Lights Giorgio Armani (male) ~ 2021,0.42757,199,220,https://fimgs.net/mdimg/perfume/270x270.66265.jpg
Oud for Happiness Initio Parfums Prives (unisex) ~ 2021,0.43039,177,191,https://fimgs.net/mdimg/perfume/270x270.69224.jpg
The One Luminous Night Dolce&Gabbana (male) ~ 2021,0.47568,143,124,https://fimgs.net/mdimg/perfume/270x270.65224.jpg
Apple Brandy on the Rocks By Kilian (unisex) ~ 2021,0.46313,148,136,https://fimgs.net/mdimg/perfume/270x270.68326.jpg
Cuoium Orto Parisi (unisex) ~ 2021,0.48399,137,114,https://fimgs.net/mdimg/perfume/270x270.69923.jpg
Vanille Havane Les Indemodables (unisex) ~ 2020,0.51163,126,92,https://fimgs.net/mdimg/perfume/270x270.63395.jpg
Polo Cologne Intense Eau de Parfum Ralph Lauren (male) ~ 2021,0.50952,125,92,https://fimgs.net/mdimg/perfume/270x270.66411.jpg
Azzaro Chrome Extreme Azzaro (male) ~ 2020,0.52519,120,82,https://fimgs.net/mdimg/perfume/270x270.59020.jpg
Orphéon Eau de Parfum Diptyque (unisex) ~ 2021,0.49911,127,98,https://fimgs.net/mdimg/perfume/270x270.65738.jpg
K by Dolce & Gabbana Eau de Parfum Dolce&Gabbana (male) ~ 2020,0.39397,213,274,https://fimgs.net/mdimg/perfume/270x270.62311.jpg
L'Homme Le Parfum Yves Saint Laurent (male) ~ 2020,0.54913,109,66,https://fimgs.net/mdimg/perfume/270x270.59731.jpg
Impact Intense Tommy Hilfiger (male) ~ 2021,0.50001,116,88,https://fimgs.net/mdimg/perfume/270x270.67365.jpg
Armani Code Absolu Gold Giorgio Armani (male) ~ 2020,0.64184,88,33,https://fimgs.net/mdimg/perfume/270x270.59334.jpg
Russian Musk II Areej Le Doré (unisex) ~ 2021,0.48444,118,96,https://fimgs.net/mdimg/perfume/270x270.67896.jpg
Bohemian Lime Goldfield & Banks Australia (unisex) ~ 2020,0.61886,88,37,https://fimgs.net/mdimg/perfume/270x270.60923.jpg
Guilty Pour Homme Eau de Parfum Gucci (male) ~ 2020,0.52829,102,67,https://fimgs.net/mdimg/perfume/270x270.59987.jpg
Aventus 10th Anniversary Creed (male) ~ 2020,0.4175,154,173,https://fimgs.net/mdimg/perfume/270x270.62845.jpg
Colonia Futura Acqua di Parma (unisex) ~ 2020,0.47796,112,93,https://fimgs.net/mdimg/perfume/270x270.62332.jpg
L'Ombre Des Merveilles Hermès (unisex) ~ 2020,0.50932,101,72,https://fimgs.net/mdimg/perfume/270x270.59799.jpg
Imagination Louis Vuitton (male) ~ 2021,0.46828,110,95,https://fimgs.net/mdimg/perfume/270x270.67370.jpg
Terre d'Hermes Flacon H 2020 Parfum Hermès (male) ~ 2020,0.49775,99,74,https://fimgs.net/mdimg/perfume/270x270.59011.jpg
Vetiver Sensuel Mancera (unisex) ~ 2020,0.45625,108,98,https://fimgs.net/mdimg/perfume/270x270.61046.jpg
Constantinople Penhaligon's (unisex) ~ 2021,0.47785,94,76,https://fimgs.net/mdimg/perfume/270x270.68998.jpg
Montabaco Verano Ormonde Jayne (unisex) ~ 2020,0.488,91,70,https://fimgs.net/mdimg/perfume/270x270.60087.jpg
Black Incense Malaki Chopard (unisex) ~ 2020,0.4898,86,65,https://fimgs.net/mdimg/perfume/270x270.61770.jpg
Y Eau Fraiche Yves Saint Laurent (male) ~ 2020,0.50902,79,54,https://fimgs.net/mdimg/perfume/270x270.60094.jpg
Saharian Wind Mancera (unisex) ~ 2020,0.45223,94,85,https://fimgs.net/mdimg/perfume/270x270.61044.jpg
Loewe 7 Cobalt Loewe (male) ~ 2021,0.47979,85,67,https://fimgs.net/mdimg/perfume/270x270.66229.jpg
Zellige Limited Edition: Ambre Sultan Serge Lutens (unisex) ~ 2020,0.45749,91,80,https://fimgs.net/mdimg/perfume/270x270.60630.jpg
9pm Afnan (male) ~ 2020,0.47326,84,68,https://fimgs.net/mdimg/perfume/270x270.65414.jpg
Valentino Uomo Born In Roma Yellow Dream Valentino (male) ~ 2021,0.43136,100,100,https://fimgs.net/mdimg/perfume/270x270.64614.jpg
Oud Tobacco Montale (unisex) ~ 2020,0.45716,85,74,https://fimgs.net/mdimg/perfume/270x270.61494.jpg
Patchouli Ardent Guerlain (unisex) ~ 2020,0.55049,63,34,https://fimgs.net/mdimg/perfume/270x270.60494.jpg
L'Homme Rochas Rochas (male) ~ 2020,0.57134,60,29,https://fimgs.net/mdimg/perfume/270x270.59056.jpg
Musk Therapy Initio Parfums Prives (unisex) ~ 2021,0.55491,61,32,https://fimgs.net/mdimg/perfume/270x270.66097.jpg
Supremacy Not Only Intense Afnan (male) ~ 2021,0.44744,81,73,https://fimgs.net/mdimg/perfume/270x270.68271.jpg
Rhinoceros Edition 2020 Zoologist Perfumes (unisex) ~ 2020,0.42436,88,89,https://fimgs.net/mdimg/perfume/270x270.64004.jpg
Iris Torréfié Guerlain (unisex) ~ 2020,0.49747,65,45,https://fimgs.net/mdimg/perfume/270x270.62527.jpg
L'Homme À la Rose Maison Francis Kurkdjian (male) ~ 2020,0.50758,60,39,https://fimgs.net/mdimg/perfume/270x270.61779.jpg
Silky Woods Goldfield & Banks Australia (unisex) ~ 2021,0.44261,73,66,https://fimgs.net/mdimg/perfume/270x270.66766.jpg
Bon Monsieur Rogue Perfumery (unisex) ~ 2020,0.58562,51,22,https://fimgs.net/mdimg/perfume/270x270.64537.jpg
L'Heure Verte By Kilian (unisex) ~ 2021,0.39863,92,105,https://fimgs.net/mdimg/perfume/270x270.68324.jpg
Joop! Homme Eau de Parfum Joop! (male) ~ 2021,0.42064,80,81,https://fimgs.net/mdimg/perfume/270x270.67489.jpg
Boss Bottled Eau de Parfum Hugo Boss (male) ~ 2020,0.40264,88,98,https://fimgs.net/mdimg/perfume/270x270.62744.jpg
Chipmunk Zoologist Perfumes (unisex) ~ 2021,0.44191,70,63,https://fimgs.net/mdimg/perfume/270x270.67998.jpg
