Perfume Name,Wilson Score,Thumbs Up,Thumbs Down,Img Url
Sauvage Elixir Dior (male) ~ 2021,0.59215,3880,2542,https://fimgs.net/mdimg/perfume/270x270.68415.jpg
Gentleman Eau de Parfum Reserve Privée Givenchy (male) ~ 2022,0.68438,2589,1113,https://fimgs.net/mdimg/perfume/270x270.71272.jpg
Ombré Leather Parfum Tom Ford (unisex) ~ 2021,0.65933,2450,1181,https://fimgs.net/mdimg/perfume/270x270.68716.jpg
La Nuit de L'Homme Bleu Électrique Yves Saint Laurent (male) ~ 2021,0.68498,2197,936,https://fimgs.net/mdimg/perfume/270x270.67997.jpg
Emporio Armani Stronger With You Absolutely Giorgio Armani (male) ~ 2021,0.6798,1989,865,https://fimgs.net/mdimg/perfume/270x270.64501.jpg
Dior Homme Original Dior (male) ~ 2021,0.69188,1817,743,https://fimgs.net/mdimg/perfume/270x270.69010.jpg
Terre d'Hermes Eau Givree Hermès (male) ~ 2022,0.66118,1891,895,https://fimgs.net/mdimg/perfume/270x270.72439.jpg
Angels' Share Anniversary Edition By Kilian (unisex) ~ 2022,0.69596,1572,626,https://fimgs.net/mdimg/perfume/270x270.77132.jpg
Valentino Uomo Intense 2021 Valentino (male) ~ 2021,0.6749,1458,640,https://fimgs.net/mdimg/perfume/270x270.75094.jpg
Club de Nuit Intense Man Parfum Armaf (male) ~ 2022,0.59848,1633,1013,https://fimgs.net/mdimg/perfume/270x270.72842.jpg
Y Le Parfum Yves Saint Laurent (male) ~ 2021,0.62061,1456,817,https://fimgs.net/mdimg/perfume/270x270.64718.jpg
The Most Wanted Parfum Azzaro (male) ~ 2022,0.64425,1301,654,https://fimgs.net/mdimg/perfume/270x270.73664.jpg
Le Beau Le Parfum Jean Paul Gaultier (male) ~ 2022,0.60188,1243,751,https://fimgs.net/mdimg/perfume/270x270.72158.jpg
Intense Cedrat Boise Mancera (male) ~ 2021,0.66784,1028,458,https://fimgs.net/mdimg/perfume/270x270.72796.jpg
Noir Extreme Parfum Tom Ford (male) ~ 2022,0.65814,983,457,https://fimgs.net/mdimg/perfume/270x270.75489.jpg
Acqua di Giò Eau de Parfum Giorgio Armani (male) ~ 2022,0.56002,1139,818,https://fimgs.net/mdimg/perfume/270x270.71606.jpg
Armani Code Parfum Giorgio Armani (male) ~ 2022,0.5784,1022,676,https://fimgs.net/mdimg/perfume/270x270.75126.jpg
Dior Homme Sport 2021 Dior (male) ~ 2022,0.57809,1015,672,https://fimgs.net/mdimg/perfume/270x270.71326.jpg
Light Blue Forever pour Homme Dolce&Gabbana (male) ~ 2021,0.60099,900,537,https://fimgs.net/mdimg/perfume/270x270.66556.jpg
Eros Parfum Versace (male) ~ 2021,0.5762,913,606,https://fimgs.net/mdimg/perfume/270x270.70090.jpg
Luna Rossa Ocean Prada (male) ~ 2021,0.5926,879,543,https://fimgs.net/mdimg/perfume/270x270.68753.jpg
The Most Wanted Azzaro (male) ~ 2021,0.65737,760,349,https://fimgs.net/mdimg/perfume/270x270.66826.jpg
Narciso Rodriguez for Him Bleu Noir Parfum Narciso Rodriguez (male) ~ 2022,0.60655,748,431,https://fimgs.net/mdimg/perfume/270x270.71783.jpg
Reflection 45 Man Amouage (male) ~ 2021,0.64117,705,347,https://fimgs.net/mdimg/perfume/270x270.69488.jpg
H24 Eau de Parfum Hermès (male) ~ 2022,0.50909,848,741,https://fimgs.net/mdimg/perfume/270x270.75811.jpg
Terre d'Hermes Flacon H 2021 Parfum Hermès (male) ~ 2021,0.6036,650,376,https://fimgs.net/mdimg/perfume/270x270.65397.jpg
Ébène Fumé Tom Ford (unisex) ~ 2021,0.59646,655,391,https://fimgs.net/mdimg/perfume/270x270.69008.jpg
Spicebomb Infrared Viktor&Rolf (male) ~ 2021,0.56983,659,441,https://fimgs.net/mdimg/perfume/270x270.66514.jpg
Club de Nuit Intense Man Limited Edition Parfum Armaf (male) ~ 2021,0.56434,631,431,https://fimgs.net/mdimg/perfume/270x270.77861.jpg
