Perfume Name,Final Z-Score,Number of Categories,Img Url
A*Men Pure Malt Mugler (male) ~ 2009,0.842437400892429,3,https://fimgs.net/mdimg/perfume/270x270.6103.jpg
Terre d'Hermes Parfum Hermès (male) ~ 2009,0.8417229044510823,3,https://fimgs.net/mdimg/perfume/270x270.8282.jpg
Vetiver Guerlain (male) ~ 2000,0.841672198252019,3,https://fimgs.net/mdimg/perfume/270x270.69.jpg
Bvlgari Man In Black Bvlgari (male) ~ 2014,0.8413356934764169,3,https://fimgs.net/mdimg/perfume/270x270.26358.jpg
Vanilla Diorama Dior (unisex) ~ 2021,0.8399666261017074,3,https://fimgs.net/mdimg/perfume/270x270.68198.jpg
Fahrenheit Dior (male) ~ 1988,0.8392429103514399,3,https://fimgs.net/mdimg/perfume/270x270.228.jpg
Armani Code Absolu Giorgio Armani (male) ~ 2019,0.8382737305011616,4,https://fimgs.net/mdimg/perfume/270x270.53106.jpg
Iris Torréfié Guerlain (unisex) ~ 2020,0.8370948113729394,3,https://fimgs.net/mdimg/perfume/270x270.62527.jpg
L'Homme Idéal Extrême Guerlain (male) ~ 2020,0.8367684478371502,5,https://fimgs.net/mdimg/perfume/270x270.60284.jpg
Dior Homme Cologne 2013 Dior (male) ~ 2013,0.8365647011100047,3,https://fimgs.net/mdimg/perfume/270x270.17256.jpg
Egoiste Platinum Chanel (male) ~ 1993,0.8360806873916731,3,https://fimgs.net/mdimg/perfume/270x270.614.jpg
Eau Sauvage Parfum Dior (male) ~ 2012,0.8359562267212449,3,https://fimgs.net/mdimg/perfume/270x270.14811.jpg
Egoiste Chanel (male) ~ 1990,0.834153851827267,3,https://fimgs.net/mdimg/perfume/270x270.613.jpg
Tuscan Leather Tom Ford (unisex) ~ 2007,0.8341446325183464,3,https://fimgs.net/mdimg/perfume/270x270.1849.jpg
M7 Yves Saint Laurent (male) ~ 2002,0.8332872367887303,3,https://fimgs.net/mdimg/perfume/270x270.1031.jpg
Mitsouko Eau de Toilette Guerlain (female) ~ 2021,0.8329046354685252,1,https://fimgs.net/mdimg/perfume/270x270.67314.jpg
Tam Dao Limited Edition Diptyque (unisex) ~ 2019,0.8312728177895785,1,https://fimgs.net/mdimg/perfume/270x270.55612.jpg
The Most Wanted Parfum Azzaro (male) ~ 2022,0.8303117048346055,2,https://fimgs.net/mdimg/perfume/270x270.73664.jpg
Heritage Eau de Toilette Guerlain (male) ~ 1992,0.8292307408636649,3,https://fimgs.net/mdimg/perfume/270x270.1880.jpg
Grand Soir Maison Francis Kurkdjian (unisex) ~ 2016,0.8265156543865472,3,https://fimgs.net/mdimg/perfume/270x270.40816.jpg
Symphonium Xerjoff (unisex) ~ 2020,0.8260316406682154,1,https://fimgs.net/mdimg/perfume/270x270.59707.jpg
L'Instant de Guerlain pour Homme EDP Guerlain (male) ~ 2015,0.8243306781723642,3,https://fimgs.net/mdimg/perfume/270x270.44763.jpg
Ristretto Intense Café Montale (unisex) ~ 2019,0.8240748423498174,2,https://fimgs.net/mdimg/perfume/270x270.55001.jpg
Aqua Allegoria Coconut Fizz Guerlain (unisex) ~ 2019,0.8223254784821329,1,https://fimgs.net/mdimg/perfume/270x270.53806.jpg
Luna Rossa Black Prada (male) ~ 2018,0.8219705350886898,3,https://fimgs.net/mdimg/perfume/270x270.48682.jpg
Luna Rossa Carbon Prada (male) ~ 2017,0.8209425821440424,3,https://fimgs.net/mdimg/perfume/270x270.43402.jpg
Pour Monsieur Chanel (male) ~ 1955,0.820278791901759,3,https://fimgs.net/mdimg/perfume/270x270.615.jpg
Mugler Cologne Mugler (unisex) ~ 2001,0.8201912084670133,3,https://fimgs.net/mdimg/perfume/270x270.708.jpg
Ombré Leather Parfum Tom Ford (unisex) ~ 2021,0.8177158240218313,6,https://fimgs.net/mdimg/perfume/270x270.68716.jpg
Ani Nishane (unisex) ~ 2019,0.816810487885828,5,https://fimgs.net/mdimg/perfume/270x270.54785.jpg
